,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes,Gross,Dir_class,IsScored,Cast_class
108,1983,0,170,1,8.3,740.9110000000001,45.598982,0,True,0
109,1983,2,131,2,8.3,950.47,309.125409,0,True,2
110,1981,0,149,0,8.3,231.85500000000002,11.487675999999999,0,True,0
111,1976,0,114,1,8.3,724.636,28.262573999999997,0,True,0
112,1973,2,129,0,8.3,241.513,159.6,0,True,1
113,1971,0,136,0,8.3,757.904,6.207725,3,True,0
114,1968,2,149,1,8.3,603.517,56.954992,3,True,0
115,1965,2,132,0,8.3,232.772,15.0,0,True,0
116,1962,2,228,0,8.3,268.085,44.824144,1,True,1
117,1960,2,125,0,8.3,164.363,18.599999999999998,3,True,0
118,1959,2,136,0,8.3,299.198,13.274999999999999,3,True,1
119,1958,0,128,1,8.3,364.368,3.1999999999999997,3,True,1
120,1952,2,103,1,8.3,218.957,8.819028,0,True,0
123,1944,1,107,1,8.3,143.525,5.72,0,True,0
124,1941,1,119,0,8.3,403.351,1.585634,0,True,0
126,1927,1,153,0,8.3,159.992,1.2361659999999999,0,True,0
131,2018,1,130,0,8.2,377.884,85.08017099999999,0,True,0
132,2017,0,115,0,8.2,432.61,54.51374,0,True,1
138,2013,0,87,1,8.2,40.382,0.144501,0,True,0
143,2009,0,129,1,8.2,193.217,6.391436,0,True,0
144,2011,1,140,0,8.2,435.95,13.657115,0,True,0
145,2010,0,138,1,8.2,1129.894,128.012934,3,True,2
146,2009,2,96,2,8.2,935.5070000000001,293.004164,0,True,0
147,2013,0,180,1,8.2,1187.498,116.900694,3,True,2
148,2007,2,153,0,8.2,74.129,1.113541,0,True,0
149,2007,0,158,0,8.2,517.359,40.222514,1,True,0
150,2006,1,118,0,8.2,618.623,37.634615,0,True,0
151,2010,2,103,2,8.2,757.032,415.00487999999996,0,True,3
152,2005,0,132,0,8.2,1032.749,70.51103499999999,0,True,0
155,2005,1,140,1,8.2,1308.3020000000001,206.852432,0,True,2
157,2004,0,156,2,8.2,331.308,5.50904,0,True,0
158,2004,2,119,2,8.2,333.915,4.7110959999999995,3,True,0
159,2001,1,135,1,8.2,848.9200000000001,170.74234099999998,0,True,2
161,1998,0,107,0,8.2,535.216,3.897569,0,True,0
162,1997,0,138,1,8.2,531.967,64.61694,0,True,0
164,1995,0,170,1,8.2,577.113,67.436818,0,True,3
165,1995,0,178,1,8.2,466.276,42.4383,3,True,3
167,1992,0,130,0,8.2,375.935,101.15744699999999,0,True,3
